area_type,availability,location,bhk,society,sqft,bath,balcony,price
Built-up  Area,Ready To Move,Kengeri,3,Vaens G,1230,2,2,52
Super built-up  Area,Ready To Move,Gottigere,3,MBireap,1230,2,2,52
Super built-up  Area,18-May,Chellikere,2,,1088,2,2,46
Super built-up  Area,18-Dec,Channasandra,2,MVisear,1050,2,1,44.41
Super built-up  Area,Ready To Move,Gunjur Palya,2,Evvan V,993,2,2,42
Super built-up  Area,Ready To Move,Kanakpura Road,3,NevenLi,1300,2,2,55
Built-up  Area,Ready To Move,Banashankari,3,V2anags,1300,2,2,55
Super built-up  Area,Ready To Move,Jigani,3,DLhtsen,1300,3,3,55
Super built-up  Area,Ready To Move,Uttarahalli,3,Evood S,1300,2,1,55
Super built-up  Area,Ready To Move,Dasarahalli,2,,1300,2,3,55
Super built-up  Area,Ready To Move,Uttarahalli,2,AkncyRe,1300,2,2,55
Super built-up  Area,Ready To Move,Nagarbhavi,3,DSdhiSa,1560,3,3,66
Super built-up  Area,Ready To Move,Muneshwara Nagar,3,Laderav,1560,2,3,66
Super built-up  Area,Ready To Move,Kothanur,3,Gilleon,1820,3,3,77
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1580,2,2,66.85
Built-up  Area,Ready To Move,Kaggadasapura,3,Clsto C,1654,3,3,70
Built-up  Area,Ready To Move,Vidyaranyapura,2,,945,2,,40
Super built-up  Area,Ready To Move,Uttarahalli,2,Aklia R,1125,2,1,47.65
Super built-up  Area,18-Jun,KR Puram,2,MCnexva,1015,2,1,43
Super built-up  Area,18-May,Ramagondanahalli,2,ViistLa,1251,2,1,53
Super built-up  Area,17-Oct,Ramagondanahalli,2,ViistLa,1151,2,2,48.77
Super built-up  Area,Ready To Move,Kaggadasapura,2,,1180,1,0,50
Super built-up  Area,Ready To Move,Kumbena Agrahara,2,Shont F,1180,2,2,50
Built-up  Area,Ready To Move,Hormavu,2,BhncyRe,1180,2,2,50
Super built-up  Area,Ready To Move,Electronic City,3,Briumri,1652,3,2,70
Super built-up  Area,Ready To Move,Uttarahalli,3,Aklia R,1345,2,1,57
Super built-up  Area,Ready To Move,Uttarahalli,3,Aklia R,1345,2,1,57
Super built-up  Area,Ready To Move,Uttarahalli,3,Aklia R,1345,2,1,57
Super built-up  Area,Ready To Move,Whitefield,3,SearkHy,1345,2,2,57
Super built-up  Area,Ready To Move,Yelahanka,3,Apows M,1345,2,1,57
Super built-up  Area,Ready To Move,Uttarahalli,3,Aklia R,1345,2,1,57
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2,Malowr ,920,2,3,39
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1530,3,3,64.86
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2,Mauner ,861,2,0,36.5
Built-up  Area,Ready To Move,Hormavu,3,Neise P,1604,3,0,68
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,PisomSu,1085,2,1,46
Built-up  Area,Ready To Move,Kammasandra,2,Vicony ,1415,2,2,60
Super built-up  Area,Ready To Move,Kumarapalli,2,BMmesHo,1240,2,2,52.6
Super built-up  Area,Ready To Move,Electronic City,2,KBityo ,825,2,1,35
Super built-up  Area,Ready To Move,Singapura Village,2,Juoryma,825,2,1,35
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,Nencei ,1485,2,2,63
Super built-up  Area,Ready To Move,Harlur,2,,1532,2,1,65
Super built-up  Area,Ready To Move,Harlur,2,SrEndPo,1532,2,1,65
Built-up  Area,18-May,Sarjapur  Road,4,Cetattu,3369,6,0,143
Super built-up  Area,Ready To Move,Kodichikkanahalli,2,,907,2,2,38.5
Super built-up  Area,Ready To Move,Malleshpalya,2,SoncyRe,1225,2,2,52
Built-up  Area,Ready To Move,Kaval Byrasandra,2,KuncyRe,1060,2,2,45
Super built-up  Area,Ready To Move,Rayasandra,3,MJeusyl,1577,3,2,67
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3,Mauner ,1318,3,2,56
Super built-up  Area,Ready To Move,Dodda Nekkundi,2,,1100,2,1,46.75
Super built-up  Area,Ready To Move,Kothanur,2,,1200,2,1,51
Super built-up  Area,Ready To Move,Kothanur,2,,1200,2,1,51
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,Saisena,1200,2,2,51
Super built-up  Area,Ready To Move,Somasundara Palya,3,,1600,3,3,68
Super built-up  Area,Ready To Move,Rajarajeshwari nagar,3,,2000,3,2,85
Super built-up  Area,Ready To Move,BEML Layout,3,,2000,3,2,85
Super built-up  Area,Ready To Move,BEML Layout 5th stage,3,,2000,3,2,85
Super built-up  Area,Ready To Move,BEML Layout,3,,2000,3,2,85
Built-up  Area,Ready To Move,KR Puram,6,,2000,6,0,85
Super built-up  Area,Ready To Move,BEML Layout,3,,2000,3,2,85
Super built-up  Area,Ready To Move,Rajarajeshwari Nagara,3,,2000,3,2,85
Super built-up  Area,18-Mar,Bellandur,3,,2000,3,2,85
Super built-up  Area,Ready To Move,Rajarajeshwarinagar,3,,2000,3,2,85
Super built-up  Area,Ready To Move,BEML Layout,3,,2000,2,2,85
Plot  Area,Ready To Move,Gubbalala,4,,2000,4,1,85
Super built-up  Area,Ready To Move,5th Stage BEML Layout,3,,2000,3,2,85
Super built-up  Area,Ready To Move,5th Stage BEML Layout,3,,2000,3,2,85
Built-up  Area,Ready To Move,Akshaya Vana,4,,4000,4,3,170
Super built-up  Area,Ready To Move,5th Phase JP Nagar,5,,4000,5,2,170
Built-up  Area,Ready To Move,Hoodi,2,Adion M,1247,2,0,53
Super built-up  Area,Ready To Move,Nehru Nagar,2,Veyalin,967,2,2,41.1
Super built-up  Area,17-Apr,Chikkalasandra,2,,1070,2,1,45.48
Built-up  Area,Ready To Move,Friends Colony,2,SiidsGa,1035,2,2,44
Super built-up  Area,Ready To Move,Seegehalli,2,Sriferi,1176,2,2,50
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Shthi S,1270,2,1,54
Super built-up  Area,18-Apr,Begur,3,Arera V,1411,2,2,60
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,,1070,2,1,45.5
Super built-up  Area,Ready To Move,Kothanur,2,,1070,2,1,45.5
Super built-up  Area,Ready To Move,Whitefield,3,BMttaor,1458,2,2,62
Super built-up  Area,Ready To Move,Mahadevpura,3,Maourit,1505,3,2,64
Super built-up  Area,18-Aug,Horamavu Agara,2,S2ionrn,994,2,1,42.28
Built-up  Area,Ready To Move,Thubarahalli,4,VincyRe,3408,5,,145
Built-up  Area,Ready To Move,Vasanthapura,2,,940,2,1,40
Built-up  Area,Ready To Move,Electronics City Phase 1,2,,940,2,1,40
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,Avine A,1175,2,1,50
Super built-up  Area,Ready To Move,Kaggadasapura,2,JaaldEm,1175,2,2,50
Super built-up  Area,Ready To Move,Whitefield,2,BMttaor,1175,2,2,50
Super built-up  Area,Ready To Move,Yelenahalli,2,,1175,2,2,50
Built-up  Area,Ready To Move,Kalyan nagar,3,,1410,2,2,60
Super built-up  Area,Ready To Move,Kogilu,2,,1190,2,2,50.66
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1151,2,1,49
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1419,2,1,60.42
Super built-up  Area,Ready To Move,Judicial Layout,2,,1165,2,1,49.61
Super built-up  Area,Ready To Move,Jigani,3,DLhtsen,1221,3,3,52
Super built-up  Area,Ready To Move,Pai Layout,2,,810,2,2,34.5
Built-up  Area,Ready To Move,Electronics City Phase 1,2,Raenti ,1080,2,2,46
Super built-up  Area,Ready To Move,Hennur,3,,1655,2,1,70.5
Super built-up  Area,Ready To Move,Thanisandra,2,,1075,2,2,45.8
Super built-up  Area,Ready To Move,GM Palaya,3,,1643,2,2,70
Built-up  Area,Ready To Move,Uttarahalli,2,Sungsha,1150,2,1,49
Super built-up  Area,18-Aug,Hongasandra,2,,1150,2,2,49
Built-up  Area,Ready To Move,Chennappa Layout,2,VaireSo,1220,2,2,52
Super built-up  Area,Ready To Move,Dasarahalli,2,Syonyph,1220,2,2,52
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Shthi S,1525,2,2,65
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Shthi S,1525,2,2,65
Super built-up  Area,Ready To Move,Seegehalli,3,Paoliy ,1525,3,2,65
Super built-up  Area,Ready To Move,J C Nagar,3,,1525,3,3,65
Built-up  Area,Ready To Move,Brookefield,4,Sringlv,3050,4,,130
Super built-up  Area,Ready To Move,Hennur,2,Shateor,1255,2,2,53.5
Super built-up  Area,Ready To Move,Hennur,2,Shateor,1255,2,2,53.5
Super built-up  Area,Ready To Move,Bharathi Nagar,2,ReudePr,1384,2,2,59
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2,Malowr ,985,2,2,42
Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1360,2,1,58
Super built-up  Area,Ready To Move,Yelahanka,3,Apows M,1430,3,1,61
Super built-up  Area,18-Jun,KR Puram,3,MCnexva,1430,2,1,61
Super built-up  Area,Ready To Move,Bannerghatta Road,2,Loals P,1160,2,0,49.49
Super built-up  Area,Ready To Move,Uttarahalli,2,Aklia R,1125,2,1,48
Super built-up  Area,Ready To Move,Bandepalya,2,Jaity H,1125,2,1,48
Super built-up  Area,Ready To Move,Uttarahalli,2,Aklia R,1125,2,1,48
Super built-up  Area,19-Sep,Kudlu Gate,3,Srods P,1432,2,2,61.11
Super built-up  Area,Ready To Move,Bellandur,2,SRageri,1195,2,2,51
Built-up  Area,Ready To Move,Gulimangala,3,Daxir E,1640,3,2,70
Super built-up  Area,Ready To Move,Hennur,2,Shateor,1255,2,1,53.57
Super built-up  Area,Ready To Move,Green View Layout,2,Makeser,1007,2,2,43
Built-up  Area,Ready To Move,Coconut Grove Layout,2,Naenti ,1007,2,2,43
Super built-up  Area,18-May,Ramagondanahalli,3,ViistLa,1475,2,2,63
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2,,1194,2,1,51
Super built-up  Area,Ready To Move,Sarjapur  Road,2,,1194,2,1,51
Built-up  Area,Ready To Move,Whitefield,2,Niborik,1030,2,2,44
Super built-up  Area,Ready To Move,Kadubeesanahalli,3,Srhan P,1545,2,2,66
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1140,2,1,48.7
Super built-up  Area,18-Aug,Gunjur Palya,2,,1235,2,2,52.76
Super built-up  Area,18-Aug,Gunjur,2,BMineis,1235,2,2,52.76
Super built-up  Area,Ready To Move,BTM 2nd Stage,2,,1100,2,2,47
Super built-up  Area,18-Jun,KR Puram,2,MCnexva,1100,2,1,47
Super built-up  Area,Ready To Move,Hebbal,2,,1100,2,2,47
Super built-up  Area,Ready To Move,Vignana Nagar,2,,1100,2,2,47
Super built-up  Area,Ready To Move,Neeladri Nagar,2,NatisAt,1053,2,1,45
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,Dehts H,1170,2,3,50
Built-up  Area,Ready To Move,Kengeri Satellite Town,2,Rooodre,1170,2,3,50
Super built-up  Area,Ready To Move,Chambenahalli,2,,1170,2,3,50
Built-up  Area,Ready To Move,Electronic City,3,DSgmax ,1287,3,1,55
Super built-up  Area,Ready To Move,Uttarahalli,2,Aklia R,1123,2,1,48
Super built-up  Area,Ready To Move,Kammasandra,3,,912,2,1,39
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1196,2,2,51.15
Super built-up  Area,Ready To Move,Mysore Road,2,,1239,2,1,53
Built-up  Area,Ready To Move,Upadhyaya Layout,2,,935,2,0,40
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2,NaensGa,1005,2,1,43
Super built-up  Area,Ready To Move,Bisuvanahalli,3,,1075,2,1,46
Super built-up  Area,17-Dec,Yelahanka,2,Hotat H,1519,2,3,65
Super built-up  Area,Ready To Move,Marathahalli,2,SatatHa,1285,2,2,55
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1303,2,2,55.78
Built-up  Area,Ready To Move,Sarjapur  Road,3,HIideSu,1495,2,0,64
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1306,2,1,55.91
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1303,2,1,55.79
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1303,2,2,55.79
Built-up  Area,Ready To Move,Motappa Layout,2,Puodse ,1156,2,2,49.5
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1295,2,1,55.47
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1295,2,1,55.47
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1295,2,2,55.47
Super built-up  Area,Ready To Move,Kudlu,2,Srrnasa,1027,2,1,44
Super built-up  Area,Ready To Move,Haralur Road,2,,1027,2,2,44
Super built-up  Area,18-Apr,Haralur Road,2,,1027,2,2,44
Super built-up  Area,Ready To Move,HSR Layout,2,,1027,2,2,44
Super built-up  Area,Ready To Move,Haralur Road,2,,1027,2,2,44
Super built-up  Area,Ready To Move,Haralur Road,2,,1027,2,1,44
Super built-up  Area,Ready To Move,Haralur Road,2,,1027,1,2,44
Super built-up  Area,Ready To Move,Kudlu,2,,1027,2,2,44
Super built-up  Area,Ready To Move,Haralur Road,2,,1027,2,2,44
Super built-up  Area,Ready To Move,Haralur Road,2,,1027,2,2,44
Super built-up  Area,Ready To Move,Kudlu,2,,1027,2,2,44
Super built-up  Area,Ready To Move,Haralur Road,2,,1027,2,2,44
Built-up  Area,Ready To Move,Kudlu,2,Srrnasa,1027,2,2,44
Super built-up  Area,Ready To Move,Kudlu,2,,1027,2,2,44
Super built-up  Area,Ready To Move,Hormavu,2,,980,2,2,42
Built-up  Area,Ready To Move,Chennappa Layout,2,Mawerer,1050,2,2,45
Super built-up  Area,Ready To Move,Manayata Tech Park,2,,1050,2,2,45
Super built-up  Area,Ready To Move,Belathur,2,Viiniai,1050,2,1,45
Super built-up  Area,Ready To Move,Babusapalaya,2,,1050,2,3,45
Super built-up  Area,Ready To Move,Thanisandra,2,,1050,2,2,45
Super built-up  Area,Ready To Move,Yelahanka,2,Apows M,1050,2,1,45
Built-up  Area,18-Jun,Anathanagar,2,,1050,2,2,45
Super built-up  Area,18-Jun,KR Puram,2,MCnexva,1085,2,1,46.5
Built-up  Area,Ready To Move,Kadugodi,3,MSingco,1260,2,2,54
Super built-up  Area,Ready To Move,Uttarahalli,3,Aklia R,1330,2,1,57
Super built-up  Area,Ready To Move,Uttarahalli,3,Aklia R,1330,2,1,57
Super built-up  Area,Ready To Move,Vasanthapura,3,,1400,3,2,60
Plot  Area,Ready To Move,Chandapura,2,,1400,2,0,60
Super built-up  Area,Ready To Move,KR Puram,3,RaiewLa,1400,2,3,60
Super built-up  Area,Ready To Move,rr nagar,2,,1400,2,2,60
Built-up  Area,Ready To Move,R.T. Nagar,3,GModsNR,1680,3,2,72
Super built-up  Area,Ready To Move,Tata Nagar,3,,1750,3,3,75
Super built-up  Area,Ready To Move,Brookefield,3,Vaontos,1750,2,2,75
Built-up  Area,Ready To Move,Shettihalli,4,,2100,4,1,90
Plot  Area,Ready To Move,Hiremath Layout,4,,3150,3,1,135
Built-up  Area,Ready To Move,Ramamurthy Nagar,5,,3500,5,2,150
Plot  Area,18-Dec,Chikka Tirupathi,4,Theanmp,3500,5,3,150
Built-up  Area,Ready To Move,Annasandrapalya,4,,3500,4,0,150
Built-up  Area,Ready To Move,Channasandra,6,,4200,6,0,180
Super built-up  Area,19-Aug,Yelahanka,2,SMllay ,1180,2,0,50.58
Super built-up  Area,18-Mar,Thanisandra,2,SLityee,850,2,0,36.435
Super built-up  Area,18-Nov,manyata,2,,1169,2,1,50.11
Super built-up  Area,Ready To Move,Mysore Road,2,,1003,2,1,43
Super built-up  Area,Ready To Move,Battarahalli,3,SraveHi,1516,3,3,65
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1267,2,1,54.35
Super built-up  Area,Ready To Move,Ramamurthy Nagar,3,,1515,3,3,65
Super built-up  Area,Ready To Move,Doddanekundi,2,,1128,2,2,48.4
Super built-up  Area,Ready To Move,Bommanahalli,3,,1375,3,2,59
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1255,2,1,53.87
Super built-up  Area,Ready To Move,Yelahanka,2,,1025,2,1,44
Super built-up  Area,18-Mar,GM Palaya,2,,1140,2,2,48.95
Built-up  Area,Ready To Move,Sarjapur  Road,4,Cetattu,3307,6,0,142
Super built-up  Area,Ready To Move,Divya Unnathi Layout,2,,1141,2,2,49
Built-up  Area,Ready To Move,Nagavara,2,,936,2,0,40.2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1240,2,1,53.27
Super built-up  Area,Ready To Move,Electronic City,3,Palleon,1350,3,2,58
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,,1350,3,2,58
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3,,1350,2,,58
Super built-up  Area,Ready To Move,Kudlu,2,Srrnasa,1024,2,2,44
Super built-up  Area,Ready To Move,Varsova Layout,3,MoaveEn,1280,2,3,55
Built-up  Area,Ready To Move,Bharathi Nagar,2,ReudePr,1300,2,2,55.86
Super built-up  Area,Ready To Move,Yelahanka,2,Rarthne,1120,2,0,48.13
Super built-up  Area,Ready To Move,Nyanappana Halli,2,MyigePr,1140,2,2,49
Super built-up  Area,20-Dec,Varthur,2,Myple M,1055,2,2,45.35
Super built-up  Area,Ready To Move,Yelahanka,2,Niareum,1326,2,2,57
Super built-up  Area,Ready To Move,Poornapragna Housing Society Layout,3,,1355,2,3,58.25
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3,,1355,2,3,58.25
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2,,920,2,2,39.55
Super built-up  Area,20-Dec,Varthur,3,Myple M,1535,3,2,65.99
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1070,2,1,46
Super built-up  Area,20-Dec,Varthur,2,Myple M,1070,2,2,46
Super built-up  Area,20-Dec,Varthur,3,Myple M,1615,3,2,69.43
Super built-up  Area,20-Dec,Varthur,3,Myple M,1665,3,2,71.58
Super built-up  Area,Ready To Move,Yelahanka,2,Niareum,1226,2,2,52.71
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2,,1512,1,2,65.01
Super built-up  Area,Ready To Move,Kaggadasapura,2,P num P,1000,2,2,43
Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1500,2,1,64.5
Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1500,2,1,64.5
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3,,1355,2,3,58.27
Built-up  Area,Ready To Move,Hoysalanagar,3,PNncysi,1325,3,1,57
Super built-up  Area,Ready To Move,Gubbalala,3,,1650,3,2,71
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1450,3,3,62.4
Super built-up  Area,Ready To Move,Pai Layout,3,Cemesal,1510,2,2,65
Built-up  Area,Ready To Move,Uttarahalli,3,,1440,2,3,62
Built-up  Area,Ready To Move,Uttarahalli,3,,1440,2,3,62
Super built-up  Area,Ready To Move,Yelahanka,2,,1045,2,1,45
Super built-up  Area,Ready To Move,Uttarahalli,2,SirlsPe,1045,2,1,45
Super built-up  Area,Ready To Move,Green Garden Layout,2,PaisePa,1045,2,0,45
Built-up  Area,Ready To Move,Yelahanka,4,InllaPa,3042,4,0,131
Super built-up  Area,Ready To Move,Motappa Layout,3,Puodse ,1312,2,1,56.5
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1196,2,2,51.51
Super built-up  Area,Ready To Move,Kanakapura,2,,1277,2,2,55
Built-up  Area,Ready To Move,Subramanyapura,2,,1277,2,2,55
Built-up  Area,Ready To Move,Kudlu,2,GKityde,1300,2,2,56
Built-up  Area,Ready To Move,Green Glen Layout,3,Prodsm ,1625,3,2,70
Super built-up  Area,18-Aug,Gunjur,2,BMineis,1140,2,2,49.11
Super built-up  Area,18-Aug,Varthur Road,2,,1140,2,2,49.11
Super built-up  Area,Ready To Move,Shikaripalya,3,Maenara,1555,2,1,67
Super built-up  Area,Ready To Move,Babusapalaya,3,,1230,3,3,53
Super built-up  Area,Ready To Move,Whitefield,3,SearkHy,1345,3,1,58
Built-up  Area,18-Dec,Whitefield,3,,1600,3,2,69
Super built-up  Area,Ready To Move,Somasundara Palya,3,,1600,3,3,69
Super built-up  Area,Ready To Move,Somasundara Palya,3,,1600,3,3,69
Super built-up  Area,Ready To Move,Yelahanka New Town,3,SLhidOr,1426,2,2,61.5
Super built-up  Area,18-Aug,Garebhavipalya,3,,1275,3,2,55
Super built-up  Area,Ready To Move,Nanjappa Garden,2,TNnumla,1275,2,3,55
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1185,2,1,51.15
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1185,2,1,51.15
Super built-up  Area,Ready To Move,Dodda Nekkundi,2,,1390,2,2,60
Super built-up  Area,Ready To Move,Somasundara Palya,3,,1575,3,3,68
Built-up  Area,Ready To Move,Whitefield,3,,1600,3,0,69.1
Built-up  Area,Ready To Move,Choodasandra,2,Maidsr ,1065,2,1,46
Super built-up  Area,18-Aug,Shirdi Sai Layout,2,,1450,2,3,62.63
Super built-up  Area,18-Apr,Thanisandra,2,,1250,1,1,54
Super built-up  Area,18-May,Silk Board,3,,1250,3,2,54
Built-up  Area,Ready To Move,Yelahanka,2,AdniaSk,1250,2,2,54
Super built-up  Area,Ready To Move,Gottigere,3,Krryll ,1435,2,3,62
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1140,2,1,49.27
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1550,3,3,67
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Usquaya,1145,2,2,49.5
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Usquaya,1145,2,2,49.5
Super built-up  Area,Ready To Move,Anekal,2,,925,2,1,40
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1128,2,1,48.79
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1128,2,1,48.79
Super built-up  Area,Ready To Move,Akshaya Nagar,2,,1179,2,1,51
Super built-up  Area,Ready To Move,Hallehalli,2,,1225,2,,53
Built-up  Area,Ready To Move,Kalena Agrahara,2,Prmesi ,1040,2,2,45
Super built-up  Area,Ready To Move,Banashankari,2,,1040,2,3,45
Super built-up  Area,Ready To Move,Whitefield,3,Iseenst,1436,2,3,62.15
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1133,2,1,49.07
Super built-up  Area,Ready To Move,Somasundara Palya,3,,1570,3,3,68
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1570,3,2,68
Super built-up  Area,Ready To Move,Kanakpura Road,2,PuandHi,1339,2,2,58
Super built-up  Area,Ready To Move,Kanakpura Road,2,PuandHi,1339,2,2,58
Super built-up  Area,Ready To Move,Green View Layout,2,Makeser,1108,2,1,48
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1140,2,1,49.39
Super built-up  Area,Ready To Move,Bellandur,2,SRageri,1200,2,1,52
Super built-up  Area,Ready To Move,Vinayaka Nagar,2,,1200,2,2,52
Plot  Area,18-Nov,Chandapura,3,,1200,2,1,52
Built-up  Area,Ready To Move,Ganga Nagar,2,,1200,3,2,52
Super built-up  Area,Ready To Move,Marathahalli,2,VRave E,1200,2,2,52
Super built-up  Area,Ready To Move,Harlur,2,,1200,2,2,52
Built-up  Area,Ready To Move,Hebbal,2,Srntsha,1200,2,2,52
Built-up  Area,Ready To Move,Vidyaranyapura,2,Saata S,1200,2,2,52
Super built-up  Area,Ready To Move,Kaval Byrasandra,2,Abncy R,1200,2,2,52
Super built-up  Area,Ready To Move,Hebbal,2,,1200,2,1,52
Built-up  Area,Ready To Move,Subramanyapura,2,DSagax ,1200,2,2,52
Super built-up  Area,Ready To Move,MCECHS  layout,3,,1500,3,2,65
Plot  Area,Ready To Move,Dasanapura,2,,1500,3,1,65
Super built-up  Area,Ready To Move,Kammasandra,3,Daden G,1500,3,2,65
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3,,1500,2,1,65
Super built-up  Area,Ready To Move,Vasanthapura,2,,1500,2,2,65
Plot  Area,Ready To Move,Singanayakanahalli,3,,1500,2,0,65
Super built-up  Area,Ready To Move,MCECHS  layout,3,,1500,2,2,65
Super built-up  Area,Ready To Move,Vivek Nagar,8,,3000,4,3,130
Super built-up  Area,Ready To Move,Kaggadasapura,4,Golmsoy,3000,4,,130
Built-up  Area,Ready To Move,Kengeri,8,,3000,5,,130
Super built-up  Area,Ready To Move,Doddakammanahalli,3,URodsmb,1119,2,1,48.5
Super built-up  Area,Ready To Move,Whitefield,3,Iseenst,1403,2,2,60.81
Built-up  Area,Ready To Move,8th Phase JP Nagar,5,,1730,5,2,75
Built-up  Area,Ready To Move,JP Nagar,3,,1150,2,2,49.9
Super built-up  Area,Ready To Move,Gubbalala,2,,1060,2,1,46
Super built-up  Area,Ready To Move,Kanakpura Road,3,Wiowsri,1480,2,2,64.23
Super built-up  Area,Ready To Move,Kanakpura Road,3,Wiowsri,1450,2,2,62.93
Super built-up  Area,Ready To Move,Pattandur Agrahara,2,Shvarji,1025,2,1,44.5
Super built-up  Area,18-Dec,Thanisandra,2,Omter A,1000,2,0,43.415
Super built-up  Area,Ready To Move,Hennur,2,,1255,2,2,54.5
Super built-up  Area,Ready To Move,Hennur,2,,1255,2,1,54.5
Super built-up  Area,Ready To Move,Bellandur,2,Krine O,921,2,2,40
Super built-up  Area,Ready To Move,Whitefield,2,JahanSa,805,2,2,35
Built-up  Area,Ready To Move,Arekere,2,Prdowth,920,2,1,40
Built-up  Area,Ready To Move,Sarjapur  Road,2,Srncy R,920,2,1,40
Super built-up  Area,Ready To Move,Bannerghatta Road,2,,1012,2,1,44
Super built-up  Area,Ready To Move,Yelahanka,2,Apows M,1035,2,1,45
Built-up  Area,Ready To Move,9th Phase JP Nagar,2,NaensGa,1035,2,1,45
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Shthi S,1035,2,1,45
Super built-up  Area,Ready To Move,Padmanabhanagar,2,Shers S,1150,2,0,50
Super built-up  Area,Ready To Move,BTM 2nd Stage,2,Jancyva,1265,2,2,55
Super built-up  Area,Ready To Move,BTM 2nd Stage,3,Jancyva,1265,2,3,55
Super built-up  Area,Ready To Move,Rayasandra,3,MJeusyl,1357,2,2,59
Super built-up  Area,Ready To Move,Balagere,2,Exncene,1380,2,1,60
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,3,Ablmsol,1495,2,2,65
Built-up  Area,18-Feb,KR Puram,9,,4600,9,2,200
Super built-up  Area,Ready To Move,Yelahanka,3,Prensya,1705,3,1,74.16
Super built-up  Area,Ready To Move,Uttarahalli,2,Ayaya A,1075,2,1,46.76
Super built-up  Area,Ready To Move,Uttarahalli,2,Ayaya A,1075,2,1,46.76
Super built-up  Area,Ready To Move,Chikkalasandra,2,,1075,2,1,46.76
Super built-up  Area,Ready To Move,Uttarahalli,3,,1215,2,2,52.85
Super built-up  Area,Ready To Move,Uttarahalli,3,Ayaya A,1215,2,2,52.85
Super built-up  Area,Ready To Move,Chikkalasandra,3,,1275,2,2,55.46
